name,market,funding_total_usd,status,country_code,region,funding_rounds,founded_at,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,first_fund_year,years_between
(In)Touch Network, Electronics ,1500000.0,success,GBR,London,0,2011-04-01,2011,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
10 Minutes With, Education ,4400000.0,success,GBR,London,1,2013-01-01,2013,2013-01-01,2014-10-09,400000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,2013,0
1006.tv, Media ,10000000.0,success,CHN,Beijing,1,2009-01-01,2009,2011-01-01,2014-07-31,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,2011,2
100e.com, Education ,4500000.0,success,CHN,Beijing,0,2006-01-01,2006,2006-01-01,2006-09-01,0.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0
10°North, Fashion ,0.0,success,CAN,Toronto,0,2014-08-12,2014,2014-08-12,2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0
117go, Social Travel ,20000000.0,success,CHN,Shanghai,1,2011-10-01,2011,2014-04-28,2014-04-28,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,2014,3
1248, Software ,378812.0,success,GBR,London,0,2013-01-01,2013,2014-03-18,2014-03-18,378812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
139shop, E-Commerce ,0.0,success,CHN,CHN - Other,0,2007-02-01,2007,2007-02-01,2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0
159.com, Software ,6204822.0,success,CHN,CHN - Other,2,2008-02-01,2008,2008-02-01,2011-03-01,0.0,6204822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,1704822.0,0.0,0.0,2008,0
17u.cn, Travel ,84440319.0,success,CHN,Shanghai,2,2004-01-01,2004,2008-01-01,2014-02-17,0.0,84440319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479014.0,0.0,83961305.0,0.0,2008,4
